tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
876,2018-07-10 13:23:03.772000,2018-07-10 13:37:40.704000,35,Arch St at Franklin St,42.355335019412564,-71.0582291708306,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,3085,Subscriber,1963,2
289,2018-07-10 16:13:48.588000,2018-07-10 16:18:38.328000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2258,Subscriber,1963,2
334,2018-07-10 07:10:59.749000,2018-07-10 07:16:34.227000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2079,Subscriber,1963,2
281,2018-07-11 16:38:00.635000,2018-07-11 16:42:42.261000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2533,Subscriber,1963,2
1572,2018-07-11 07:10:05.521000,2018-07-11 07:36:18.187000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2015,Subscriber,1963,2
408,2018-07-12 16:35:39.579000,2018-07-12 16:42:27.600000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2109,Subscriber,1963,2
292,2018-07-12 07:11:58.347000,2018-07-12 07:16:50.876000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,375,Subscriber,1963,2
3068,2018-07-13 14:24:00.526000,2018-07-13 15:15:09.165000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,1631,Customer,1957,2
1641,2018-07-13 16:40:34.840000,2018-07-13 17:07:56.835000,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,1631,Customer,1957,2
2150,2018-07-14 13:22:02.996000,2018-07-14 13:57:53.224000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,623,Customer,1957,2
1863,2018-07-14 15:28:55.655000,2018-07-14 15:59:59.214000,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,623,Customer,1957,2
