tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
291,2018-08-15 08:24:33.555000,2018-08-15 08:29:25.351000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,3378,Subscriber,1970,2
496,2018-08-15 15:27:05.646000,2018-08-15 15:35:22.541000,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2575,Subscriber,1970,2
460,2018-08-15 11:11:45.195000,2018-08-15 11:19:25.389000,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,63,Dorchester Ave at Gillette Park,42.344040510016356,-71.05737626552582,3617,Subscriber,1974,2
513,2018-08-15 17:41:46.199000,2018-08-15 17:50:19.418000,63,Dorchester Ave at Gillette Park,42.344040510016356,-71.05737626552582,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,3746,Subscriber,1974,2
870,2018-08-28 08:06:25.566000,2018-08-28 08:20:55.833000,150,State Street at Channel Center,42.344137,-71.052608,47,Cross St at Hanover St,42.362811,-71.056067,3563,Subscriber,1980,2
841,2018-08-28 14:52:23.404000,2018-08-28 15:06:25.295000,47,Cross St at Hanover St,42.362811,-71.056067,150,State Street at Channel Center,42.344137,-71.052608,3793,Subscriber,1980,2
472,2018-08-29 08:34:55.007000,2018-08-29 08:42:47.866000,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,63,Dorchester Ave at Gillette Park,42.344040510016356,-71.05737626552582,3897,Subscriber,1974,2
537,2018-08-29 17:55:33.903000,2018-08-29 18:04:31.428000,63,Dorchester Ave at Gillette Park,42.344040510016356,-71.05737626552582,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,3414,Subscriber,1974,2
281,2018-09-05 08:23:05.954000,2018-09-05 08:27:47.175000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,3441,Subscriber,1970,2
476,2018-09-05 16:00:28.370000,2018-09-05 16:08:25.057000,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,3774,Subscriber,1970,2
398,2018-09-12 08:32:07.621000,2018-09-12 08:38:45.682000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,136,ID Building West,42.344796,-71.031614,3661,Subscriber,1982,2
398,2018-09-12 16:43:43.802000,2018-09-12 16:50:22.319000,136,ID Building West,42.344796,-71.031614,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,2056,Subscriber,1982,2
445,2018-09-19 09:36:45.422000,2018-09-19 09:44:11.075000,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,63,Dorchester Ave at Gillette Park,42.344040510016356,-71.05737626552582,3662,Subscriber,1974,2
427,2018-09-19 17:49:41.709000,2018-09-19 17:56:49.099000,63,Dorchester Ave at Gillette Park,42.344040510016356,-71.05737626552582,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,3849,Subscriber,1974,2
1652,2018-09-21 07:59:22.219000,2018-09-21 08:26:54.474000,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,11,Longwood Ave at Binney St,42.338629,-71.1065,4010,Subscriber,1980,2
1285,2018-09-21 15:55:49.350000,2018-09-21 16:17:14.708000,11,Longwood Ave at Binney St,42.338629,-71.1065,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,3986,Subscriber,1980,2
