tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
654,2018-08-07 17:16:18.778000,2018-08-07 17:27:12.996000,177,University Park,42.36264779118595,-71.10006093978882,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3378,Subscriber,1982,2
471,2018-08-07 08:57:59.741000,2018-08-07 09:05:51.386000,49,Stuart St at Charles St,42.351146,-71.066289,23,Boston City Hall - 28 State St,42.35892,-71.057629,2121,Subscriber,1983,2
457,2018-08-07 17:19:00.841000,2018-08-07 17:26:37.977000,23,Boston City Hall - 28 State St,42.35892,-71.057629,49,Stuart St at Charles St,42.351146,-71.066289,3039,Subscriber,1983,2
776,2018-08-08 06:14:58.185000,2018-08-08 06:27:54.566000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,2310,Subscriber,1983,2
935,2018-08-08 14:11:26.325000,2018-08-08 14:27:02.108000,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3372,Subscriber,1983,2
778,2018-08-08 08:47:30.544000,2018-08-08 09:00:28.640000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,177,University Park,42.36264779118595,-71.10006093978882,3214,Subscriber,1982,2
829,2018-08-08 17:02:18.329000,2018-08-08 17:16:07.720000,177,University Park,42.36264779118595,-71.10006093978882,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2220,Subscriber,1982,2
515,2018-08-08 08:52:56.582000,2018-08-08 09:01:31.984000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,2603,Subscriber,1982,2
514,2018-08-08 15:52:08.208000,2018-08-08 16:00:43.001000,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2388,Subscriber,1982,2
683,2018-08-08 08:53:22.564000,2018-08-08 09:04:46.053000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,33,Kenmore Square,42.348706,-71.097009,2508,Subscriber,1980,2
878,2018-08-08 16:34:26.155000,2018-08-08 16:49:04.676000,33,Kenmore Square,42.348706,-71.097009,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2444,Subscriber,1980,2
657,2018-08-13 07:45:21.302000,2018-08-13 07:56:19.169000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,33,Kenmore Square,42.348706,-71.097009,2599,Subscriber,1980,2
539,2018-08-13 16:38:39.725000,2018-08-13 16:47:39.105000,33,Kenmore Square,42.348706,-71.097009,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2842,Subscriber,1980,2
709,2018-08-13 09:05:28.513000,2018-08-13 09:17:17.836000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,177,University Park,42.36264779118595,-71.10006093978882,3359,Subscriber,1982,2
687,2018-08-13 17:09:42.630000,2018-08-13 17:21:10.578000,177,University Park,42.36264779118595,-71.10006093978882,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3409,Subscriber,1982,2
494,2018-08-13 10:24:40.705000,2018-08-13 10:32:55.366000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,804,Subscriber,1982,2
408,2018-08-13 16:52:27.746000,2018-08-13 16:59:16.162000,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,804,Subscriber,1982,2
668,2018-08-14 09:00:12.506000,2018-08-14 09:11:21.295000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,33,Kenmore Square,42.348706,-71.097009,2318,Subscriber,1980,2
584,2018-08-14 16:40:41.152000,2018-08-14 16:50:26.049000,33,Kenmore Square,42.348706,-71.097009,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2605,Subscriber,1980,2
742,2018-08-16 08:46:44.295000,2018-08-16 08:59:06.340000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,177,University Park,42.36264779118595,-71.10006093978882,3345,Subscriber,1982,2
653,2018-08-16 17:21:40.549000,2018-08-16 17:32:33.648000,177,University Park,42.36264779118595,-71.10006093978882,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3744,Subscriber,1982,2
1179,2018-08-16 08:59:14.232000,2018-08-16 09:18:53.656000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,2456,Subscriber,1984,2
870,2018-08-16 16:28:29.663000,2018-08-16 16:43:00.106000,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2662,Subscriber,1984,2
768,2018-08-23 07:34:41.909000,2018-08-23 07:47:30.438000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,33,Kenmore Square,42.348706,-71.097009,1071,Subscriber,1980,2
592,2018-08-23 16:37:54.150000,2018-08-23 16:47:46.760000,33,Kenmore Square,42.348706,-71.097009,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2265,Subscriber,1980,2
738,2018-08-23 08:47:10.708000,2018-08-23 08:59:29.292000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,177,University Park,42.36264779118595,-71.10006093978882,3712,Subscriber,1982,2
762,2018-08-23 17:46:08.203000,2018-08-23 17:58:50.964000,177,University Park,42.36264779118595,-71.10006093978882,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3810,Subscriber,1982,2
1100,2018-08-23 08:54:16.690000,2018-08-23 09:12:37.662000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,3563,Subscriber,1984,2
1071,2018-08-23 17:00:57.900000,2018-08-23 17:18:49.148000,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2459,Subscriber,1984,2
618,2018-08-23 09:11:47.435000,2018-08-23 09:22:05.828000,36,Copley Square - Dartmouth St at Boylston St,42.34993463611888,-71.07738554477692,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2817,Subscriber,1984,2
924,2018-08-23 17:47:06.067000,2018-08-23 18:02:30.488000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,36,Copley Square - Dartmouth St at Boylston St,42.34993463611888,-71.07738554477692,881,Subscriber,1984,2
1106,2018-08-24 08:50:32.755000,2018-08-24 09:08:59.046000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,3406,Subscriber,1984,2
914,2018-08-24 16:21:17.377000,2018-08-24 16:36:32.370000,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3971,Subscriber,1984,2
685,2018-08-27 08:54:33.841000,2018-08-27 09:05:59.016000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,33,Kenmore Square,42.348706,-71.097009,3942,Subscriber,1980,2
539,2018-08-27 16:31:14.531000,2018-08-27 16:40:13.837000,33,Kenmore Square,42.348706,-71.097009,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3396,Subscriber,1980,2
418,2018-08-27 08:56:11.899000,2018-08-27 09:03:10.384000,49,Stuart St at Charles St,42.351146,-71.066289,23,Boston City Hall - 28 State St,42.35892,-71.057629,2495,Subscriber,1983,2
387,2018-08-27 17:07:52.752000,2018-08-27 17:14:20.195000,23,Boston City Hall - 28 State St,42.35892,-71.057629,49,Stuart St at Charles St,42.351146,-71.066289,3325,Subscriber,1983,2
937,2018-08-29 07:11:29.953000,2018-08-29 07:27:06.976000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,2813,Subscriber,1977,2
1037,2018-08-29 16:32:40.444000,2018-08-29 16:49:58.009000,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3950,Subscriber,1977,2
470,2018-08-29 08:54:21.957000,2018-08-29 09:02:12.217000,49,Stuart St at Charles St,42.351146,-71.066289,23,Boston City Hall - 28 State St,42.35892,-71.057629,3015,Subscriber,1983,2
458,2018-08-29 16:45:50.843000,2018-08-29 16:53:29.607000,23,Boston City Hall - 28 State St,42.35892,-71.057629,49,Stuart St at Charles St,42.351146,-71.066289,3433,Subscriber,1983,2
1003,2018-08-31 08:50:28.653000,2018-08-31 09:07:12.139000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,2748,Subscriber,1984,2
1124,2018-08-31 15:03:07.736000,2018-08-31 15:21:52.451000,117,Binney St / Sixth St,42.36616223459919,-71.08688293667001,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3930,Subscriber,1984,2
437,2018-09-05 08:54:43.120000,2018-09-05 09:02:01.024000,49,Stuart St at Charles St,42.351146,-71.066289,23,Boston City Hall - 28 State St,42.35892,-71.057629,3818,Subscriber,1983,2
480,2018-09-05 17:46:05.082000,2018-09-05 17:54:05.685000,23,Boston City Hall - 28 State St,42.35892,-71.057629,49,Stuart St at Charles St,42.351146,-71.066289,2848,Subscriber,1983,2
543,2018-09-06 10:28:12.500000,2018-09-06 10:37:16.379000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,2467,Subscriber,1982,2
513,2018-09-06 16:28:43.814000,2018-09-06 16:37:17.638000,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2958,Subscriber,1982,2
453,2018-09-07 08:24:59.656000,2018-09-07 08:32:33.368000,49,Stuart St at Charles St,42.351146,-71.066289,23,Boston City Hall - 28 State St,42.35892,-71.057629,2641,Subscriber,1983,2
361,2018-09-07 17:01:02.871000,2018-09-07 17:07:04.266000,23,Boston City Hall - 28 State St,42.35892,-71.057629,49,Stuart St at Charles St,42.351146,-71.066289,3528,Subscriber,1983,2
